recordedAt,subjectId,subjectName,category,action,quantity,unit,occurredAt,durationSeconds,deviceId,deviceName,context,sourceEndpoint,attribution
2026-06-19T01:51:21+00:00,cat-joule,Joule,feeding,food_change,7.0,g,2026-06-19T01:51:21+00:00,117,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-19T02:33:29+00:00,cat-joule,Joule,feeding,food_change,11.0,g,2026-06-19T02:33:29+00:00,170,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-19T03:56:03+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-19T03:56:03+00:00,116,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T05:19:37+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-19T05:19:37+00:00,112,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-19T10:00:23+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-19T10:00:23+00:00,127,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T10:32:55+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-19T10:32:55+00:00,88,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T10:34:03+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-19T10:34:03+00:00,54,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T10:54:28+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-19T10:54:28+00:00,110,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T11:03:21+00:00,cat-joule,Joule,feeding,food_change,10.0,g,2026-06-19T11:03:21+00:00,153,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-19T11:11:04+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-19T11:11:04+00:00,82,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-19T11:53:52+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-19T11:53:52+00:00,104,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T15:11:29+00:00,cat-joule,Joule,feeding,food_change,5.0,g,2026-06-19T15:11:29+00:00,155,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-19T15:50:24+00:00,cat-pascal,Pascal,feeding,food_change,6.0,g,2026-06-19T15:50:24+00:00,194,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T16:27:41+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-19T16:27:41+00:00,3,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-19T16:30:16+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-19T16:30:16+00:00,148,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T17:06:57+00:00,cat-pascal,Pascal,feeding,food_change,54.0,g,2026-06-19T17:06:57+00:00,6,feeder-pascal,Pascal's feeder,5,/demo,food_addition
